point_id,point_name,f1_C2,f2_C1,f3_C2-C1,f4_O3,f5_O3,f6_O3,f7_H4,f8_H4,f9_H4,f10_H5,f11_H5,f12_H5,f13_H6,f14_H6,f15_H6,f16_H8,f17_H8,f18_H8,f19_H9,f20_H9,f21_H9,wfn_energy,iqa,integration_error,q00,q10,q11c,q11s,q20,q21c,q21s,q22c,q22s,q30,q31c,q31s,q32c,q32s,q33c,q33s,q40,q41c,q41s,q42c,q42s,q43c,q43s,q44c,q44s
1,ETL-SAMPLE-50000000,1.913638656995951,4.135454737937731,0.6930991624549144,6.11886943885511,1.3473989309313343,0.41836253093799075,4.540779618523932,1.2628834639708442,1.0587778324937678,5.218180278114351,1.9418468287589927,0.791776362792997,3.0821616954162523,2.1572663694984837,-0.4459857212569663,3.3168040654190682,0.9556561600121661,-0.2519148393448037,6.196457325786716,1.385155716529933,0.10433778186388341,-155.031678419127,-0.59280852772,2.1278842051e-05,-0.057211957078,-0.00850350878756774,0.1451639513503631,-0.008066820197437782,-0.10049998577513478,0.00439325924107594,0.019707132512180467,0.17276250530682194,0.0014252342103121586,-0.0018912651909454925,0.19720717780625238,-0.07926976749541355,0.011019713086686228,-0.019898556798782618,-0.22925307055624475,-0.018892638806153352,0.03684108802832087,0.01962756069888755,-0.01219588385805673,-0.0750425711012182,0.07219549799612157,-0.0011671512522125388,-0.04738648914913771,0.07336177018253122,0.08695002861856982
2,ETL-SAMPLE-50000001,2.046925435519566,3.919470374698039,0.7882875442369184,6.322408407328999,1.5322427687120246,0.5609856617808934,4.685623799819596,1.938930059265055,1.0935370403547295,4.268739865388982,1.1463800410749923,1.0885083755469744,3.436185482742534,0.9537310024779855,-0.23157158350112414,3.353729970829328,2.044287482098559,-0.40388038664752796,7.549251733809122,1.4484886853691712,0.7408135333236533,-155.045052042251,-0.59197849648,2.1317528686e-05,-0.016675291315,0.0023230819069753397,0.14245894263851291,0.015578444305203394,-0.1163637879716227,0.0006566534371924223,0.007999197370000499,0.15860420545416767,-0.011287579020068647,0.019012358602461088,0.20385964775392534,-0.048002287193893746,-0.003922805560175731,-0.010627792791179527,-0.20869285848235467,-0.07406702154066741,-0.04521051204649264,-0.012246055434083442,-0.016250218592809142,-0.07718934986236531,-0.03939210678492976,0.02179429465993368,-0.01693733083084843,0.05262604540651239,0.23702035702541774
3,ETL-SAMPLE-50000002,2.1791761172086757,4.008009533921352,0.8172567229337115,4.942381920091829,2.0196260744662204,1.1938274677059477,5.097751448762045,1.2068639133663002,1.0018273983308195,5.712607833941954,1.6244480191673234,0.5549469485700772,3.5441296036814554,1.0629169307624955,-0.2820826253382163,3.587416163696335,2.082480640154294,-0.18311495164742148,5.343579943665573,2.2695082944470295,0.9130076062710559,-155.036180680078,-0.58632301424,2.1051137959e-05,0.023076433399,0.0068916395352576695,0.13520372523321014,0.04960728079386828,-0.12383013020716639,-0.011379006609935235,-0.01609292033527743,0.15991999325654482,-0.03993988580753438,0.010434034466906786,0.20111208704509675,-0.01101578249623085,0.029922594990598357,0.03485759828049059,-0.20621403169365143,-0.10360123059892357,-0.10066720112499841,-0.06626571540946712,-0.027091595832430884,-0.059059514207067204,-0.17918229211394468,-0.09177786171570063,0.01977033763119739,-0.027568303908470735,0.3879078252263924
4,ETL-SAMPLE-50000003,2.0378305934285352,4.003978862554313,0.8155798291631092,5.00934149757649,1.9655959451461023,1.2181372064089098,5.747785070306898,1.6166041849717023,0.5685446480929285,4.612771832113933,1.1530006851410441,1.0655400458334925,3.563618428788105,1.972860535768182,-0.33469540562512123,3.3945054297757618,0.9815128568441384,-0.1952029763408679,5.144922148605944,1.8358501934204159,1.5759657495519277,-155.045415864458,-0.59250173447,2.3603155714e-05,-0.014532690211,0.006920407169586418,0.14352034166377198,0.03772882291171228,-0.1174783845910114,-0.0012371803060925045,-0.00961993783754897,0.15856364303382753,-0.032683231309693674,0.03773208847577571,0.20357554174072479,-0.026190281014963568,0.014098630494435476,0.018047833025358877,-0.20996158236518042,-0.09147701808004507,-0.059974146786058946,-0.048198290433678674,-0.03425027449123632,-0.09022920130945414,-0.11349105051671264,-0.07942966155874999,0.0009354970325114106,0.029949344534274617,0.39655856968307696
5,ETL-SAMPLE-50000004,2.1411359533594845,4.044470642935653,0.7356951045922614,5.224525544971958,1.0707010964774484,0.9160041834444728,5.826431929476834,1.6585271763410447,0.5387262407308194,4.452618624841455,1.9040761948707066,1.0771795419775287,3.548104169110174,1.1088984903979198,-0.2196949095586976,3.314433429184268,2.1933173824666414,-0.3076986727865271,5.603370185731351,0.886144764128316,0.59071732619692,-155.036110676665,-0.5885784148,2.2164757285e-05,0.0089676665686,-0.029098445747277678,0.1360288759803796,0.022349322068363535,-0.11631254407060782,0.024050411777161114,0.011208122021374436,0.16697318021395072,-0.016371806590348398,-0.026216264517160772,0.20695325403655976,-0.03513649793714187,0.019897976547357376,-0.005587004163073653,-0.2150966135582216,-0.07242692206772071,-0.05036066983001379,0.11611522235128462,0.07310453070611396,-0.0760961366925261,-0.07404199302348904,-0.0737794277278168,-0.0544989201712237,0.0067620582593769015,0.23011559029017084
6,ETL-SAMPLE-50000005,2.059451032563237,3.917813371096596,0.8081709848780613,5.127521887037728,2.0872965749260093,0.9503241829264912,5.720363263357558,1.4705218234372581,0.6106050153343571,4.381171052268834,1.2675756546283108,1.22881083485004,3.431930901597985,2.0518521761927633,-0.26569378754719686,3.232893895041738,0.9961042964568831,-0.32005850808465336,6.700004648180412,2.0212938948824686,0.7871387412184397,-155.043720741201,-0.59139955993,2.6126370308e-05,-0.015154550087,0.018310425669450375,0.14176542648866883,0.03448398938097484,-0.1181596760369387,-0.012334450772849668,-0.004747169687339473,0.1593022225001138,-0.029685112789420768,0.010023155360293814,0.20860175222504349,-0.04705799495748359,-0.025700199725878684,-0.006529996613574344,-0.21231810514770624,-0.08556002500230285,-0.042221411675689095,-0.040594705273573194,-0.06892705862593157,-0.09326608273370988,-0.07323542169580756,0.07460206300747388,0.03915609527256158,0.03772209096852622,0.33021532313132174
7,ETL-SAMPLE-50000006,2.0915830896252303,4.100885269731368,0.7458501882711475,5.853030408750644,1.1372830003070051,0.801492722154788,4.271979360622324,1.7110891421199617,1.216235395772853,5.78778969246722,1.7620457191752685,0.5780937951922548,3.351139059751499,2.1385149611410714,-0.28440284405862554,3.4446952102063753,1.0708783744378998,-0.31081362780613186,5.795601548465804,1.0139914654726423,1.1228380439232517,-155.046293369189,-0.59392028612,1.6712094504e-05,-0.021297365938,-0.012159268072866408,0.14154205966104164,0.01818707477698471,-0.1258129112243591,0.010788460653871325,-0.0012458533067262719,0.16811100289757805,-0.016321324675873494,-0.00806203312288159,0.2269259902012896,-0.07268093796651688,0.012682074741767493,0.0067842428420865596,-0.21260128756139873,-0.07534110084724753,-0.017220447718719972,0.04284335198950306,0.029054594955122408,-0.017202913074203564,0.014787641281227068,-0.06135846351669068,-0.0023476414091385105,0.017350157972432435,0.2686794455972062
8,ETL-SAMPLE-50000007,1.9896389937422694,3.8926763689306205,0.8633555269102474,6.310060307946149,1.7471163696736243,0.647079206515285,4.1296850676309536,1.8206431544201969,1.3035234126086879,4.748556368379524,1.1333554911064403,0.8716046022553168,3.480002712438803,1.0431317645617637,-0.242265660931629,3.209941911257253,2.183134065519065,-0.25856053066863555,7.209014599787328,1.8623450056283066,0.8724619647485943,-155.032423786931,-0.59242766933,3.2526013581e-05,-0.035189270218,-0.021981197891937913,0.14583818421207342,0.0322225810508161,-0.1163513905796045,0.01732490940681144,-0.0015443631044887265,0.15694860402478775,-0.028397608753733577,-0.00929767012820927,0.2104577253345384,-0.06502557869550711,0.02733111649378961,0.014700291075221493,-0.21084571160825985,-0.09073977313783829,-0.004026106865715105,0.06662726362651124,0.02659428878427149,-0.06139636712827024,-0.016953359569742508,-0.10362055974533074,-0.026484141696319328,0.05116296153435166,0.3538529874236723
9,ETL-SAMPLE-50000008,2.1791646210738027,4.002854168455183,0.8005954407673777,6.303894856625753,1.4132346308101327,0.5831054521173973,4.646485480774365,2.0290019206063103,0.9540147212463818,4.417963601734609,1.325037970144461,1.2346879191292863,3.7010932733014505,1.1156627531954704,-0.28161787231060853,3.5420532790254415,2.0640823535841295,-0.24975465897490684,7.371788420567598,1.2286862102252187,0.7021903260994733,-155.037640824138,-0.58900627351,1.8068329976e-05,0.00913826082,0.004103952692367272,0.13308677351633763,0.03727635283244544,-0.13015087917604468,-0.00784865890058478,0.00997294006176607,0.1711015374039577,-0.02693420588945097,-0.01254854499159956,0.21107811042568284,-0.04232385020217802,-0.006520276664525155,-0.016591663834097683,-0.22406402344893542,-0.10729475219309892,-0.08848400147089003,-0.02400543176345291,-0.014817761453389014,0.0018079233413313882,-0.06693069845003803,0.04451824417483203,0.01026939858648064,0.004250919924775036,0.3681214564632705
10,ETL-SAMPLE-50000009,2.0022311229696443,4.214991977065213,0.6878298365110511,5.592007828479504,1.140317420111647,0.9320169431688793,4.986947327155699,1.913704600464357,0.9482181769680192,5.777879046708079,1.6113775941939235,0.4180717425898383,3.2856191261326813,2.102072439215637,-0.3189755150708231,3.34020615546774,1.0276001615469395,-0.32591757074093314,7.017391454606903,1.111613050896556,0.7369060771058331,-155.048054697172,-0.59382475469,1.8478651258e-05,-0.021790757395,0.0011942589227157685,0.14076822206708545,0.003385847813566737,-0.10743256603891829,-3.213180237096443e-05,-0.0012997509872884783,0.179840992231567,-0.00635896904197998,0.0034084322508944886,0.19855968200336205,-0.056430916598283185,-0.002140360084401426,0.004896465134436643,-0.24220668874190554,-0.02745457794975669,-0.021344456876605557,-0.014570051789781576,0.016343164042854977,-0.06400566410341385,0.006558719927545699,0.003987896548821236,-0.004978857957320345,0.048554025466015845,0.1277324287565269
