point_id,point_name,f1_C1,f2_O3,f3_C1-O3,f4_C2,f5_C2,f6_C2,f7_H4,f8_H4,f9_H4,f10_H6,f11_H6,f12_H6,f13_H7,f14_H7,f15_H7,f16_H8,f17_H8,f18_H8,f19_H9,f20_H9,f21_H9,wfn_energy,iqa,integration_error,q00,q10,q11c,q11s,q20,q21c,q21s,q22c,q22s,q30,q31c,q31s,q32c,q32s,q33c,q33s,q40,q41c,q41s,q42c,q42s,q43c,q43s,q44c,q44s
1,ETL-SAMPLE-50000000,2.0748658591219566,3.970514243586403,0.6588780182215129,4.220751101375577,2.1310925152615177,-0.4226310661762206,3.529866138079393,1.0677207766840706,-0.2391274976973648,4.702327196703821,2.5711995300205257,-0.5994428299338234,5.218180278114351,1.959735209956634,-0.7665603999490531,5.676318720781774,1.9753575139996595,-0.10006066090849405,4.916766007617827,1.9459920839751024,0.6708020188444782,-155.031678419127,-0.59058053379,2.1070575851e-05,-0.007139736108,-0.011273814194563516,0.1400468224648149,0.013613849107961835,-0.09875359955317152,0.012131512543616071,0.00999743714114647,0.15762920515886783,-0.011365492908509654,-0.015076609105504034,0.167878288338108,-0.07090798170457584,0.022125006963153712,-0.006896221302496198,-0.17367169357464102,-0.0355633223730616,0.0166371130304305,0.12810670586909037,0.006432751903562449,0.014160768907070305,0.05864467649696589,-0.06871865202114144,-0.05944730941335468,-0.019058114848240163,0.10088118912417388
2,ETL-SAMPLE-50000001,2.110625413783279,3.855926787722994,0.7198982694925663,3.876318829952722,0.9159237292579009,-0.5232127039489429,3.477639451396473,2.122040139063601,-0.30810608521461136,4.198795240624006,0.3867581521387252,-0.28524377778313165,4.268739865388982,1.0744512734025449,-1.0909570639049155,5.746929010926855,1.0484891615870555,-0.38051585369456187,4.143549808428821,1.8629668906288184,1.0769130394177466,-155.045052042251,-0.59057150248,3.227487931e-05,-0.035668630876,0.03375066615230085,0.15019120710364067,0.00664013445343907,-0.08835314325544841,-0.02651508823024974,-0.031493630052119324,0.13478558652437217,-0.009124890313091048,0.04476089349340659,0.15485149617138316,-0.08454842475811053,-0.05031895928506682,0.03605689119511821,-0.1537185529329567,-0.025548563401238247,0.0507816459193454,-0.23833945880609125,0.07658206428731235,-0.010475571200584647,0.06534702413692389,0.1463351347119196,0.10126804276762817,0.07116103208950864,0.0600171361398479
3,ETL-SAMPLE-50000002,2.129714662924003,3.868497794979948,0.7368714439201657,4.0313775542391,0.875430626071284,-0.4403059388997862,3.274135833289995,2.1602151012971573,-0.38523984163576513,4.752992880553864,1.0208776427323312,-0.9686621462691869,5.712607833941954,1.086494457456863,-0.19989235126421598,4.245896296145002,0.41068806423958026,-0.11911604303798477,3.9197035975052956,1.210830793760973,1.0386289362859684,-155.036180680078,-0.59170229207,3.1042289566e-05,-0.047579365386,0.013415797111718572,0.15863258074443679,0.007682416769915608,-0.08033534853733534,-0.016800915805181834,-0.009969039168173674,0.1389471638249378,-0.011158526384645184,0.033312843055840494,0.16353442793027467,-0.1041968214573678,-0.024936663409944063,0.019337784517693468,-0.176627075749219,-0.04201225710545752,0.06629230884335144,-0.19746038935897695,0.06109678540249746,-0.09581587554259349,0.08054896470773004,0.11506674948115794,0.04820031568495015,0.08850896813829902,0.12142348923142358
4,ETL-SAMPLE-50000003,2.1440942053054086,3.8790211009015145,0.7125094481747554,4.136821600572452,2.195316133674822,-0.48795115477079193,3.569677552576918,1.0717066601801015,-0.2962541499170483,5.873964515793568,1.9791095967005528,-0.42195127363724383,4.612771832113933,2.6101534364947754,-0.19045943844729768,4.2986571991654134,2.1008770096120024,-1.0779049064171649,4.032659674819075,1.77684262545057,1.1335664054500387,-155.045415864458,-0.59161731989,2.9252308224e-05,-0.02428230468,-0.021080560497610007,0.14381954304986178,0.014267497523298575,-0.11143636645977788,0.017134365610647923,0.028313203868567796,0.14473834045481668,-0.014620496856347458,-0.01284378112393773,0.18726570309301635,-0.07958841756359764,0.06105826365161877,-0.03793915440723614,-0.160984097769546,-0.0372470990511243,0.006009374335155986,0.14323021887602544,-0.03400778311647335,0.0056738786132451355,0.054075471128535585,-0.18528053202621078,-0.08708334016352068,0.04877590101414426,0.09761077632457713
5,ETL-SAMPLE-50000004,2.0282195528169815,4.042097031646147,0.6264470842271426,3.9840973509273914,0.9634343032753875,-0.4611621614079215,3.217879994275999,2.1682469864595535,-0.3316142686966197,5.458102241574697,1.1651467554733719,-0.23384032502638039,4.452618624841455,0.4658151737859663,-0.3637223420220052,4.581753673610334,1.0889889395012573,-1.0124762557310576,5.409017732733092,1.5294712706438622,0.38008190157738064,-155.036110676665,-0.59013241737,1.9909747516e-05,-0.010779322729,0.005156484258071518,0.14057930668510074,-0.026089900068079024,-0.07757545233285366,-0.009247014109228343,-0.006061226816350864,0.16363448488228804,0.016569630137361766,0.00785669053580888,0.15109318766674376,-0.08199984115228284,-0.01784469061672503,0.005958483856565944,-0.18501663148976202,0.019393534643384346,0.0778629267525452,-0.10906415690814904,0.043822955041260825,-0.008064600853923382,0.10839511014645685,0.08239792902280077,0.0370045319851572,0.0013457973938237999,-0.07928778053205089
6,ETL-SAMPLE-50000005,2.153332000957842,4.032607065485704,0.6484481660652524,4.202420071786382,2.1609300496525723,-0.3992985112224699,3.410478418155868,1.009199213332894,-0.2861506212992061,5.760944904899509,2.0193279939105566,-0.16220710155574833,4.381171052268834,2.6426902589994206,-0.349407796206191,4.954883379378799,2.0347389491582177,-0.8570924949971981,5.110604560589617,1.2570298854638453,0.5573922322481573,-155.043720741201,-0.59007232246,2.4758978794e-05,-0.0079690164492,-0.0050649984354719235,0.14284295242695877,0.0065345810722671,-0.08723448947079918,0.0071806513723662035,0.012842505466125502,0.16168993143456542,-0.009010311869644398,-0.025032373568057903,0.15704846918939083,-0.08528592727565061,0.014647727817368662,-0.014069126407219345,-0.1825748474728335,-0.028422509266424194,0.05565011402677402,0.1455083568665537,-0.023106504211722553,0.010177340386573707,0.07214239196647355,-0.07222862744719834,-0.06399249646104577,-0.018476167205632717,0.09125481671676962
7,ETL-SAMPLE-50000006,2.089350881229573,3.7818720733790316,0.7929599975595247,4.238612896763918,2.110746578182243,-0.4408530622802728,3.438348935909875,1.0340355078810166,-0.22129537176095893,4.458125897479467,2.19207759069847,-1.0052017186102353,5.78778969246722,1.8262625433974242,-0.45238115437732845,5.2291612530056435,2.3682909039479796,-0.0750638989297987,5.0994784040126415,1.3893147628874867,0.584123612305214,-155.046293369189,-0.58797478975,1.9717356977e-05,0.0082039061785,-0.006159404432459943,0.1348992098675229,0.03137348627375329,-0.11080225792330572,0.010364125209356567,0.025180136102533324,0.1454658238157808,-0.023526608309168206,0.013881824684426516,0.17790997697967173,-0.06713189885489002,0.0247720395757342,-0.03851510198313415,-0.16070194428404033,-0.05917597013348758,-0.030917722428918302,0.06149054594506823,-0.02931931637082578,-0.010159550864118771,0.031404879575445376,-0.10877567612239102,-0.07526983038653555,0.027978249750358657,0.16017873263238078
8,ETL-SAMPLE-50000007,2.0529819314133566,3.8362995026102684,0.7798471145297171,3.9358910179206177,0.8631786627955109,-0.5193735079933157,3.5282436652451663,2.000755015471962,-0.2844046580248795,4.024644889322763,0.36965084440814716,-0.9131294532850033,4.748556368379524,1.1689313402222636,-0.8670975813159904,5.535106728181202,0.9612169099239167,-0.19790175476268634,4.842969805377816,1.9348772597050927,0.6925922221102084,-155.032423786931,-0.58687473345,2.9278071584e-05,-0.0078629269318,0.05057461107680898,0.14573063117063523,0.02923166067458849,-0.08618363446424523,-0.04573493703385642,-0.04025071457182418,0.14007380689686613,-0.025954768138144107,0.05764832121440576,0.14897128011080707,-0.08722186269028495,-0.05240185701595716,0.052601891139789976,-0.16570736180491188,-0.05349133508388821,-0.0009863428823764977,-0.32071770232802876,0.03140737286250397,0.007679639255728137,0.08754301841697809,0.21339686887902498,0.08823498557720569,0.03988196577706193,0.18811537484513605
9,ETL-SAMPLE-50000008,2.101635147630353,3.8346999407311873,0.7284395099417914,4.255278310467826,1.0332789610153923,-0.44010208070628626,3.348058376985548,2.111081587845981,-0.427311597481289,5.3072907983767,0.7618260071652542,-0.07466332728499019,4.417963601734609,0.9944971335063599,-1.0377429060716357,5.77616531908521,1.3015989508061094,-0.391703716121715,4.155475097845268,1.5219429441983232,1.179964452998585,-155.037640824138,-0.59244062798,2.6111866592e-05,-0.030760905814,-0.0059069233773084324,0.14788827975675606,0.013369000257387145,-0.11115412652040245,-0.002217979313599546,-0.009779844318592516,0.1416315472745354,-0.014899524309533953,-0.018031714427218865,0.1885559282252295,-0.09750656276089027,-0.013864602512981607,0.027737819915684442,-0.1625930587949811,-0.03870126233442011,-0.029374260103950185,-0.025096205302695917,0.04112025633708252,-0.03386890166595967,0.09469751090588165,0.09067663269103238,0.02920774852512253,0.06252563290195592,0.1201383165718569
10,ETL-SAMPLE-50000009,2.0597941451284254,3.827884869981271,0.7602371501081918,4.033070793513862,2.2074030142736416,-0.4921812335150122,3.2684800224282315,0.9926132705980025,-0.36143981503268724,4.379538249296118,2.1123240786793245,-1.0548938747634142,5.777879046708079,2.030167648107149,-0.3739516380121342,4.588933490513471,2.6300434663648806,-0.1694403015063399,3.8877694607434576,1.6053827937730676,1.232483208757484,-155.048054697172,-0.59270185942,3.3373752472e-05,-0.042719150504,-0.008741165666653157,0.15025184006007933,0.009100323353149545,-0.09961384003576247,0.011914849091245898,0.016746109231063983,0.13435283545865848,-0.013194962385220315,-0.006572990341738396,0.18007493221480508,-0.10778801967417159,0.028515059322859512,-0.02891723988848789,-0.14928685918661466,-0.04180040457911746,0.05649881318758951,0.11266030987590879,-0.05366857286939022,-0.04225645048667378,0.10836542135645809,-0.1101269629007911,-0.05617435396074227,0.06954447861838162,0.13226671666491646
