point_id,point_name,f1_O3,f2_C1,f3_O3-C1,f4_C2,f5_C2,f6_C2,f7_H4,f8_H4,f9_H4,f10_H5,f11_H5,f12_H5,f13_H6,f14_H6,f15_H6,f16_H7,f17_H7,f18_H7,f19_H8,f20_H8,f21_H8,wfn_energy,iqa,integration_error,q00,q10,q11c,q11s,q20,q21c,q21s,q22c,q22s,q30,q31c,q31s,q32c,q32s,q33c,q33s,q40,q41c,q41s,q42c,q42s,q43c,q43s,q44c,q44s
1,ETL-SAMPLE-50000000,1.9010649633022243,3.6890518793257114,0.7585445482044147,4.344740119253538,1.2518878366618293,1.4265172056760733,5.039805073203956,1.2973344353534257,0.5110661267363258,4.916766007617827,1.963988528850129,0.8005512647564198,5.014625766250359,1.5580335509928371,1.7244556272356923,6.196457325786716,1.1830290761642068,1.3597207242831513,3.754652798332488,0.7524672512865803,1.592193580819849,-155.031678419127,-0.49147769892,2.448399856e-05,0.54262676065,0.006076833178838337,0.1821058101291661,0.004542966223903093,0.0032694230827260756,-0.016176585718615747,0.011844317728212544,-0.022878513581665507,-0.01205918451023648,-0.016590988983689985,0.09622455954709225,-0.005264020712580015,0.01621452948717888,-0.03794484894315891,-0.05982425116433049,0.00982382807372759,0.12438177663190447,-0.025016179989013964,-0.0016003392879436018,-0.14660379178272978,-0.014569328092620704,-0.0112098102831427,0.07866911445623107,0.05653439894836687,0.03534778986779291
2,ETL-SAMPLE-50000001,1.8347881464434748,3.6991303703382017,0.746416878195344,6.208517019365456,1.7379526432214758,0.5060875021907472,4.535726369615588,1.1210092663991453,0.9451318711373773,4.143549808428821,1.9127784719122136,1.1640388027110757,6.440312751028914,2.075681515110245,0.41937123166211276,7.549251733809122,1.7091996517991421,0.733329471052473,7.250396542504652,1.5769092203461164,0.2960498824363626,-155.045052042251,-0.4887101795,1.4522491326e-05,0.57508509967,-0.0010856986586828543,0.17107300029597677,-0.0010877397572341477,0.010424434105294431,0.0026022846466314665,-0.001967074347742573,-0.02140322374031049,0.003986714090027432,0.004383678660713866,0.0816003695061309,-0.001761460495074776,-0.0026606463189378284,0.008249406057070275,-0.08070564804530199,-0.01340997788354954,0.12111343347655952,-0.0076360427954259725,0.010708884877286853,-0.16724966398731725,0.0012800543013506257,-0.004169196247086074,-0.02336468954612016,0.15813030885086987,0.04874575104228242
3,ETL-SAMPLE-50000002,1.7968761332822538,3.4599521479739175,0.8821386310747432,4.732949287182657,2.1040708413480176,1.3226506343051745,5.309082965968592,1.4507308960720293,0.6685559462324788,3.9197035975052956,1.1524473669706254,1.285099474232331,6.607957974521588,1.9414433754712848,1.337087876917301,5.343579943665573,2.4163920340157348,0.9551698516301049,4.201168887490889,2.1105500650518443,1.8458513871280815,-155.036180680078,-0.4887657821,2.9132615005e-05,0.57012168981,0.0017264081305463329,0.17693548257807415,0.004948992506783902,0.012755530235679527,-0.0005178389236086158,-0.0030783618209641287,-0.03311431912592431,-0.011636674134960265,0.005842226640735661,0.07236442746475202,-0.002261164561470567,-0.002646969443006198,0.016095727437066214,-0.0558849595326293,0.010629547311991621,0.0957405430260586,-0.01715852995543737,0.012501507967257327,-0.14083084587101527,-0.034436604717629264,0.00870319997213035,-0.052740346832201856,0.10548011281434166,0.02308795825990878
4,ETL-SAMPLE-50000003,1.8330663927711934,3.7002769922119407,0.7424333293313,5.5432471513662644,1.057320269046662,0.8747010997521566,5.324231633955434,1.7561205957815589,0.4956753925196405,4.032659674819075,1.8158136572042234,1.2460965113551143,6.801984387926526,1.0080935725976663,0.5704221378951996,5.144922148605944,0.7889609848902349,1.2090624442893234,6.9753742372581025,1.250425948825012,1.0430686250733028,-155.045415864458,-0.48909119526,2.2322925737e-05,0.57179582547,-0.002768919295466018,0.17314421466047233,-0.00047975932615469674,0.010423062287691541,0.005924847500861233,-0.0015000564208732772,-0.023249438348198825,0.0030752400751627787,0.008616009593048122,0.08255031071649914,-0.0004248296571041162,-0.006767550182936671,0.00467385708472676,-0.07693793586529718,-0.014838427384172823,0.12316713044700268,-0.02158176304296535,0.011682291577577334,-0.16515585000167723,-0.014783171111296725,0.0023585093503005377,-0.006382372873836775,0.1447831743969202,0.05960233271069182
5,ETL-SAMPLE-50000004,1.7958336506286747,3.6073609441137395,0.7954618307921948,4.5325991742384115,1.0980570940707937,1.3022500148832175,4.318028909930312,2.027157614461001,0.9979229210540317,5.409017732733092,1.5278649166148492,0.5885346183922741,3.7116762039287945,1.083010358460637,1.8007843624433169,5.603370185731351,0.7959386783486447,1.0361541819387374,6.44362859316082,1.2740910439957522,1.3345588497513603,-155.036110676665,-0.49043670899,3.5138823236e-05,0.57132624126,0.0008141182836097077,0.17793694299644838,0.0006319595504019199,0.012781740178877057,-0.005229595009643593,0.00866922393571238,-0.03368130468120049,-0.0049216730547079635,-0.016706683554245254,0.07865525493927619,-0.0037510450066034562,0.0037360894697992158,-0.034309292675047676,-0.05344723823155393,0.00796272794603198,0.11954916428659491,0.030285100438604298,-0.026211625127916034,-0.15493499663421603,-0.00720509166422786,0.009857325982290435,0.08537103119277181,0.09499363015723829,0.008268791769071868
6,ETL-SAMPLE-50000005,1.8267061572244436,3.6039991850013537,0.7898505997442613,5.620951522010665,2.011436784699165,0.6237222783016566,3.65542686098966,1.5684914399805485,1.3719422310863263,5.110604560589617,1.217308888043882,0.7179165093143024,5.406638209472712,2.3628617156790988,0.5306641248491794,6.700004648180412,1.8448324343253573,0.3740176839497332,7.138431703719853,1.973361893311412,0.851354804828905,-155.043720741201,-0.48849640217,1.9412072161e-05,0.57448580579,-0.000525937834822604,0.17114828972126125,0.00494353554147756,0.00752419907684607,0.0008979991718329916,-3.648515238468797e-05,-0.025442741500034564,-0.007821872028191946,0.0007553158860443888,0.08962099981529735,-0.010110333180547515,-0.001007973502992547,-0.0012907069330986031,-0.06546103409405284,-0.0013064367048979165,0.14138535629319043,-0.0010896328620544702,-0.002679027359992929,-0.17730292916093926,0.015061669548986219,0.0010791875281609524,0.006226716029869148,0.11843036061720143,0.05395524013599556
7,ETL-SAMPLE-50000006,1.787122174448106,3.589701079333402,0.8464948512950449,5.389728449432729,2.0822249682524223,1.000697956022872,3.7489751192710754,1.2968384224084857,1.3416683035012318,5.0994784040126415,1.357723991997458,0.580544391966961,7.164502939952103,1.9213097898893856,0.9409710748215256,5.795601548465804,2.120645290839742,1.4273484486965209,5.59222169303325,2.370533115807144,0.6974773848074077,-155.046293369189,-0.49236161524,2.2143067212e-05,0.57036604664,0.0034669826905165957,0.1783778536367473,0.004017794973321307,0.014009609605486889,-0.007798100569842179,0.0025433270662333406,-0.033278098606850104,-0.006276205238187088,-0.01029655250237951,0.08008488178916578,-0.005972415564874696,0.009420740767502659,-0.008324471730808258,-0.0633844867363291,-0.004196176508112577,0.13064759085276645,0.01756879834729305,-0.010911801316203666,-0.17556638590411758,-0.005828313178525202,-0.005139282016751541,0.016917702654679755,0.13197280306125322,0.06136789131747274
8,ETL-SAMPLE-50000007,1.8923911851172852,3.656336725210645,0.8418262295796423,6.1857091818971774,1.2805586030882137,0.6548826885381874,3.819546010299676,1.417410892565633,1.3633378537370164,4.842969805377816,1.9628897105197052,0.756512893156137,7.28390923400168,1.488736351686604,0.4806768102892668,7.209014599787328,1.2699699172260976,0.922556130927301,6.259739686931418,0.971136207241224,0.530376529632029,-155.032423786931,-0.49096683062,1.6222319494e-05,0.5486377913,0.0006822411835052805,0.17669547008390124,0.0047232053538157626,0.00018738716614287855,-0.001541159745339699,0.0020841666353316472,-0.015627901421487164,-0.007819458920314935,-0.004005383375818567,0.1081925361962696,-0.011479617708665011,0.00038221228320726465,-0.007486139081518955,-0.08344942269549405,-0.005753128752705976,0.14883966730856507,0.008296582266792994,-0.0077093117794069,-0.19251104293554383,0.014541661830904513,0.005794753476491189,0.01693466577195759,0.1368053719996078,0.07675835941638666
9,ETL-SAMPLE-50000008,1.8251118716703871,3.8779830485545155,0.6492161229563086,5.998789062548693,1.9757366094319955,0.5186695495999261,5.481393737102257,1.2739016379317487,0.546972941551304,4.155475097845268,1.509529074606615,1.1709177190162507,5.866993849828547,2.3226571244694654,0.40256111476694423,7.371788420567598,1.9134184785708717,0.7846264855982763,7.074522833728683,1.8528630065429317,0.26903423786580466,-155.037640824138,-0.48517787233,9.136701866e-06,0.59318520999,-0.0002673250771736968,0.16520715678910183,-0.0033472588933893257,0.011842584195028838,0.0003576064599884799,0.00046799735300722523,-0.023944193637389366,0.009195387364637958,-0.00040914088777062384,0.07856325969755001,2.5810204774987276e-05,-0.0005510649277924976,-0.0029254723197838337,-0.07433529214841482,-0.018536062101872832,0.13403811665411228,0.002411128417059564,-0.004648056296742261,-0.17003950268509682,0.009358736013015284,0.0030920275476731107,0.00924976192471923,0.1521960096934501,0.04092804703936111
10,ETL-SAMPLE-50000009,1.8102840568496887,3.747669674466401,0.7579426100669034,5.882023036161891,1.1351220980574714,0.7030414310026869,5.173959864193635,1.9102321558871607,0.6732471716340683,3.8877694607434576,1.6110923488230742,1.301701355414073,7.269323452619331,1.2486113031294352,0.9092592824306466,7.017391454606903,1.1599319190682689,0.4218640214878695,5.6712610367820595,0.7857941306500794,0.8099587750820748,-155.048054697172,-0.48931578818,2.3288137521e-05,0.5810597102,-0.0006907649305331713,0.17105588795708013,0.0011113180000057645,0.011420757601114391,0.001953960476869617,-0.0006047276851783351,-0.02728283355149841,0.00014298672365271173,0.002864714101867872,0.0831432677102749,-0.005179904247569829,-0.003150751338298497,0.00296339765637708,-0.06763067725246351,-0.00969946732570862,0.14080784357532097,-0.005026871242776628,0.004425132385920067,-0.1763510076353629,0.012153042899612668,0.0028267486024692798,-0.009758282008917991,0.13264564535201362,0.05229639693505974
