point_id,point_name,f1_C1,f2_H9,f3_C1-H9,f4_C2,f5_C2,f6_C2,f7_H4,f8_H4,f9_H4,f10_H5,f11_H5,f12_H5,f13_H6,f14_H6,f15_H6,f16_H7,f17_H7,f18_H7,f19_H8,f20_H8,f21_H8,wfn_energy,iqa,integration_error,q00,q10,q11c,q11s,q20,q21c,q21s,q22c,q22s,q30,q31c,q31s,q32c,q32s,q33c,q33s,q40,q41c,q41s,q42c,q42s,q43c,q43s,q44c,q44s
1,ETL-SAMPLE-50000000,2.6537453022498805,1.9010649633022243,1.8677816080263336,4.498382804675518,1.2631444323247938,0.6069953730841254,3.594605305641257,1.1824638175965223,-0.47949024732062245,3.970514243586403,2.0651337883854066,-0.07220826213491292,5.628363394674686,1.559425315078923,0.7909839834269995,6.11886943885511,1.1778444100028636,0.42100395416434444,4.23322738398625,0.8665280073600103,0.9483828995477517,-155.031678419127,-75.417942876,1.0501392472e-05,-1.1103505548,0.043230975065276914,0.04292432702875365,-0.15122684787504265,-0.6266163889060921,0.07735942455507813,0.03875011410000188,0.11814452591057616,-0.319635856094084,-0.19993891649288295,0.7108126077665325,-0.3527453474933514,-0.22981939938144716,0.06731318772071902,0.12424671269562956,-0.1913734705143988,0.03526687874425215,-0.06755142543331435,0.6063904243920497,1.3309008159463767,0.7821790951115504,-0.9254914827829993,-0.07384814875428378,-0.25937852195889033,1.4608801073470052
2,ETL-SAMPLE-50000001,2.661729153931567,1.8347881464434748,1.9080835426799552,4.718378750739777,1.7915079891351422,-0.5330095514079519,3.893752094108627,1.0397263834072656,0.17052575959575297,3.855926787722994,1.9394609175447495,0.4181102579780396,5.0943091576467925,2.228764684864207,-0.6277120392912677,6.322408407328999,1.7362835840839181,-0.30194619108938126,5.521480073985174,1.5788233596929142,-0.840356962309607,-155.045052042251,-75.425976137,1.9906396657e-05,-1.1358748449,0.012406535033519205,0.0353982525337775,-0.12357210415233386,-0.6133728469618013,-0.008084591786252102,0.011922727381102205,0.16274856719931632,-0.314330174303122,0.21775078734988873,0.6830604625792652,-0.2601009208495467,0.14699586766580086,0.006240234203876337,0.22630558998286956,0.05820005743790101,0.051256627744655996,0.1477434964611479,0.1856378171246311,1.5809545225708321,0.9951813618061248,0.5081918235820202,-0.05127274736692168,-0.32563831438420887,2.0301055104113255
3,ETL-SAMPLE-50000002,2.7014949112727824,1.7968761332822538,1.7201306628149102,4.693836106663966,2.108997125455745,0.34810591814150343,4.068276122036803,1.4138440339309006,-0.47204408051113694,3.868497794979948,1.1465546998467415,0.3745940514227243,6.462797885367002,1.950186810299662,0.21108692790457076,4.942381920091829,2.5134409384901035,0.06319869395244387,4.9392537256009,2.0231989530712298,0.8242414743004648,-155.036180680078,-75.422864143,4.032443605e-05,-1.0938093879,0.011937786179945925,0.0062171766265085165,-0.1450056700790756,-0.6261484043180943,-0.0242796317066429,-0.01451006957166732,0.11024111486685083,-0.19371341575381554,-0.14582409493585272,0.6196026731630488,-0.1540986544247382,0.015935231275444686,-0.009549605014856225,0.19309068398311877,-0.19499587178525613,0.3425074132355625,-0.5695051807412107,0.058963748502852256,1.6635097634479572,1.194409096679569,0.026234584786335634,0.059624323990261296,0.6163003529361213,1.2534156458905423
4,ETL-SAMPLE-50000003,2.6564303191000285,1.8330663927711934,1.9137955858412072,4.768334383144082,0.9630298604136373,0.014461704493648392,3.851161479699793,1.828382144989392,-0.4958175449270822,3.8790211009015145,1.825729630524145,0.4994784270394038,5.645747748864907,0.8727417756675162,-0.4264747811536566,5.00934149757649,0.7617157325754041,0.5001296101958408,6.308213045181163,1.2151203816027614,0.08639420474815139,-155.045415864458,-75.425864226,1.8458961268e-05,-1.1366918985,-0.005810528873947712,0.026498785578002844,-0.14326824749187705,-0.5985028523469801,0.01682873377415056,0.0064774905150085296,0.15413474109637468,-0.33585118844658024,0.30941425545174056,0.666030083894259,-0.3263733975202876,0.12729489671587646,-0.01349015857120579,0.22025799981199834,-0.010744893787065076,0.30184860558542237,0.8470327821400939,0.12399113184499894,1.511475263008718,0.8213908365528834,0.2951101012716288,-0.004817872741021885,-0.5248854241757471,1.7896275680365987
5,ETL-SAMPLE-50000004,2.6775261316938996,1.7958336506286747,1.8466046266569296,4.4636026345751345,1.0901356956313097,0.46005496304815213,3.7847207608638778,2.097610405778549,0.18237797592531096,4.042097031646147,1.513332777734508,-0.4568206818626012,4.436908969946775,1.167921304794837,0.9485058080629576,5.224525544971958,0.7222120164833461,0.2050425706430441,6.290105554551323,1.2666204718982357,0.3347663692363721,-155.036110676665,-75.421962488,3.218977191e-05,-1.1252964609,-0.005588836139119629,0.04009948404610994,-0.11794153790138923,-0.6140682700773604,0.017887945466238012,0.04072489476340952,0.13490264938488064,-0.23597739855605895,-0.07462697679557179,0.757300858316249,-0.1718288809127266,-0.1695195158918907,0.12204465294707605,0.24893179090801193,-0.04461352039741433,0.28748882832487577,0.07615904753428997,0.0963012375911491,1.6780414969027253,1.4595449257000568,-0.5433780017844646,-0.13798384866970526,-0.06577332335712754,1.487883226511453
6,ETL-SAMPLE-50000005,2.656465862973718,1.8267061572244436,1.8414882401552155,4.4559173682900886,2.138901102990866,-0.38836175063392797,3.7497763155012467,1.5685494341556752,0.5697040761266117,4.032607065485704,1.116633201176695,-0.24419447425382074,4.539033195838023,2.582736583600933,-0.3751601539057776,5.127521887037728,1.9322253159316247,-0.7864827251326922,6.203413320929344,2.0384932320605045,-0.19799094471136947,-155.043720741201,-75.422480257,2.1730919884e-06,-1.1345735091,-0.025397457783425115,0.036432511024611314,-0.15656975765931486,-0.582060847617434,-0.06106116953354723,0.04120387927463167,0.1303735418023533,-0.3115245112320785,-0.14676539396474636,0.712896077012862,-0.7985646076968066,-0.014681526979616133,0.14026997322288054,0.12478211573956084,-0.06853757347124792,0.7720065015915317,-0.4926630413063446,0.1912760138339425,1.6820175977792673,-0.006427177769964517,0.2871176438589718,-0.186992052277354,-0.09043869483718994,1.6826897670814853
7,ETL-SAMPLE-50000006,2.7528405918464243,1.787122174448106,1.7873385100342118,4.814162283503167,2.1506930403340885,0.029316314420953123,3.783999638584531,1.2994386190032203,0.48511907064617094,3.7818720733790316,1.2816460942437742,-0.49989163786250224,6.352793959174379,1.9684481381592325,-0.16413633223930504,5.853030408750644,2.114642659554482,0.43402711050001,4.877525837345376,2.5361650569419565,-0.23047290526093164,-155.046293369189,-75.416732149,3.048876723e-05,-1.0803165323,0.022595473313296477,0.07360017185620739,-0.15317887299936872,-0.674565394442012,-0.006722722342221616,-0.00175698608281122,0.16338680988477075,-0.29563222142778844,-0.3637369551225684,0.5989770903878842,-0.4286482709873448,-0.09621226644646129,0.043259732613093,0.21118490626033107,-0.17734753498037278,0.4428614723085974,-0.8642593983848319,0.17981276610451435,1.8057755484250115,0.5445834763370251,-0.36646881400164927,0.010337101303272206,0.2330350317149372,1.611893509237489
8,ETL-SAMPLE-50000007,2.780671381346087,1.8923911851172852,1.7673729529512343,4.904342496006752,1.2015091035141316,-0.4645871796252968,3.9022365405687216,1.4206861229979093,0.4897148483810727,3.8362995026102684,2.074183799206363,-0.22083589088018285,5.681079894077585,1.4655080083332,-0.7380387706174049,6.310060307946149,1.2254495968640933,-0.19478210882344107,5.088640538610252,0.8034271802311768,-0.5793976782830689,-155.032423786931,-75.417720597,0.00017260848667,-1.0438163076,-0.026597480326789366,0.07400680797659917,-0.16681834632108297,-0.7203200695809263,-0.007173975694220584,-9.559972420556117e-05,0.17287386334206384,-0.28404596386007747,-0.11969871761538058,0.5570512556689109,-0.6907139666690104,-0.15157493294336993,0.04504361194607771,0.2756170540810903,-0.2137292396207268,0.1400741308049926,-0.11182041290956642,-0.23443751862216122,1.8699896751138918,-0.08328863956259253,-0.413344988483669,0.18418164082305932,0.3803969282919755,1.6480260758396754
9,ETL-SAMPLE-50000008,2.66347615893835,1.8251118716703871,2.065237851031751,4.673056847085909,2.101024552581212,-0.3313309813585739,4.12737346373505,1.1717644943562364,-0.27711732731724725,3.8346999407311873,1.5043967762299504,0.549456168009658,4.833276728339322,2.548248619117414,-0.40601853435278007,6.303894856625753,1.9745467957177212,-0.0674007641935775,5.428537716229991,1.9419995941402497,-0.7112777253150496,-155.037640824138,-75.43031257,6.3864439758e-05,-1.1620010637,-0.011867443898206969,0.06447636526362288,-0.12095809763121947,-0.5682322095104755,-0.04332658750874929,0.03219282122306932,0.2518820446979652,-0.35748700084609075,-0.1558122432654659,0.677788922472592,-0.7308859608837177,-0.06517246130571017,0.13461360273294762,0.15458313314036673,0.23329024171364218,0.6319778774076311,-0.5203143393254215,0.15883477753381628,1.4287595332277518,0.3380857077867202,0.10534812303869397,-0.1500409051547729,-1.380542673486235,1.5163104342324456
10,ETL-SAMPLE-50000009,2.7327399526925427,1.8102840568496887,1.9108485332706358,4.811080627138529,1.028664369133071,-0.2397405158039056,4.029563453022856,2.012537848796071,-0.2424462198999137,3.827884869981271,1.6117231014950413,0.54477051002329,6.386197900576066,1.202070744288544,-0.07933841874517499,5.592007828479504,1.045801957827008,-0.6550910385993804,5.042320708013457,0.6518038001779993,0.022201148471739703,-155.048054697172,-75.424868958,2.4370126239e-05,-1.1053374674,-0.002956162480873669,0.07090611624219187,-0.13367489896352924,-0.644672447627076,0.019979124301203976,-0.0090787181329415,0.21377441126092167,-0.31379180438096244,0.14517768988764326,0.5918233977414777,-0.6476400531686679,0.03199703986497257,-0.046633267591343036,0.26997031047443076,0.030303206900335854,0.4910448915417789,0.4682588151005684,0.06364838619191168,1.8263331341678166,0.2288367775110228,-0.09318641933919608,0.11517829939157564,-0.47751011280998307,1.6232080770350448
